sample_id,partition
0,test
1,test
10,fold_2
100,fold_3
101,fold_2
102,fold_1
103,fold_2
104,fold_0
105,fold_0
106,fold_4
107,fold_0
108,fold_1
109,fold_0
11,fold_0
110,fold_1
111,fold_4
112,fold_2
113,fold_3
114,fold_0
115,test
116,fold_1
117,test
118,fold_0
119,fold_3
12,fold_4
120,fold_1
121,fold_3
122,fold_3
123,fold_1
124,fold_1
125,fold_4
126,fold_0
127,fold_3
128,fold_0
129,fold_2
13,fold_4
130,fold_2
131,fold_0
132,fold_1
133,fold_0
134,fold_0
135,fold_4
136,fold_0
137,fold_2
138,fold_4
139,fold_1
14,fold_3
140,fold_1
141,fold_2
142,fold_0
143,fold_2
144,fold_1
145,fold_3
146,fold_0
147,fold_2
148,fold_0
149,fold_2
15,fold_4
150,fold_0
151,fold_1
152,fold_4
153,fold_2
154,fold_3
155,fold_0
156,fold_2
157,fold_1
158,fold_4
159,fold_0
16,fold_2
160,fold_4
161,fold_4
162,fold_4
163,fold_2
164,fold_1
165,fold_4
166,fold_4
167,fold_2
168,fold_3
169,fold_0
17,test
170,fold_1
171,fold_3
172,fold_4
173,fold_1
174,test
175,fold_0
176,fold_3
177,fold_1
178,fold_2
179,fold_2
18,fold_0
180,fold_3
181,fold_3
182,test
183,fold_1
184,fold_2
185,fold_2
186,fold_3
187,fold_1
188,fold_4
189,test
19,fold_4
190,fold_3
191,test
192,fold_2
193,fold_3
194,fold_0
195,fold_0
196,fold_1
197,fold_4
198,fold_0
199,fold_2
2,test
20,fold_4
200,fold_1
201,fold_1
202,fold_1
203,fold_0
204,test
205,fold_4
206,fold_2
207,test
208,fold_0
209,fold_4
21,fold_2
210,fold_3
211,fold_4
212,fold_3
213,fold_3
214,fold_0
215,fold_4
216,fold_3
217,fold_3
218,fold_2
219,fold_3
22,fold_3
220,fold_2
221,fold_1
222,fold_4
223,fold_0
224,fold_3
225,fold_0
226,fold_1
227,fold_0
228,test
229,test
23,fold_2
230,test
231,test
232,test
233,test
234,test
235,test
236,test
237,test
238,fold_4
239,fold_4
24,fold_4
240,fold_4
241,fold_3
242,test
243,test
245,fold_0
246,fold_0
247,fold_0
248,fold_0
249,fold_0
25,fold_4
250,fold_0
251,fold_0
252,fold_1
253,fold_1
254,test
255,test
256,fold_2
257,fold_2
258,fold_0
259,fold_0
26,fold_2
260,test
261,test
262,fold_0
263,fold_0
264,fold_0
265,fold_0
266,fold_2
267,test
268,test
269,fold_0
27,fold_4
270,fold_0
271,fold_0
272,fold_0
273,fold_4
274,fold_3
275,fold_0
276,fold_0
277,fold_1
278,fold_1
279,fold_2
28,fold_2
280,fold_1
281,fold_1
282,test
283,test
284,fold_1
285,fold_1
286,test
287,test
288,fold_0
289,fold_0
29,fold_1
290,fold_1
291,fold_1
292,test
293,test
294,fold_4
295,fold_4
296,fold_0
297,fold_0
298,fold_0
299,fold_0
3,test
30,fold_1
300,fold_4
301,fold_4
302,fold_3
303,fold_3
304,fold_4
305,fold_4
306,fold_0
307,fold_0
308,fold_4
309,fold_4
31,fold_2
310,fold_0
311,fold_0
312,fold_0
313,fold_0
314,fold_0
315,fold_0
316,test
317,test
318,test
319,test
32,fold_3
320,fold_2
321,fold_0
322,fold_0
323,fold_4
324,fold_4
325,fold_3
326,fold_3
327,fold_2
328,fold_4
329,fold_4
33,fold_0
330,fold_3
331,fold_3
332,fold_0
333,fold_0
334,fold_0
335,fold_2
336,test
337,test
338,fold_2
339,fold_4
34,fold_1
340,fold_4
341,fold_3
342,fold_3
343,fold_4
344,fold_4
345,fold_2
346,fold_1
347,fold_4
348,fold_0
349,fold_0
35,fold_4
350,fold_2
351,fold_4
352,fold_0
353,fold_0
354,fold_4
355,fold_2
356,fold_2
357,fold_4
358,fold_2
359,fold_2
36,fold_4
360,test
361,fold_1
362,test
363,fold_4
364,fold_2
365,fold_2
366,fold_4
367,fold_2
368,fold_3
369,fold_2
37,fold_4
370,fold_2
371,fold_4
372,fold_0
373,fold_2
374,fold_1
375,fold_2
376,fold_1
377,fold_3
378,fold_2
379,fold_0
38,fold_0
380,fold_1
381,fold_4
382,fold_0
383,fold_2
384,fold_1
385,fold_1
386,fold_2
387,fold_3
388,fold_4
389,fold_3
39,fold_3
390,fold_4
391,fold_2
392,fold_3
393,fold_4
394,fold_2
395,fold_3
396,test
397,fold_0
398,test
399,fold_1
4,test
40,fold_4
400,fold_3
401,fold_3
402,fold_2
403,fold_0
404,fold_0
405,fold_2
406,fold_3
407,fold_3
408,fold_3
409,fold_2
41,fold_4
410,fold_2
411,test
412,fold_0
413,fold_4
414,fold_4
415,fold_4
416,fold_4
417,test
418,fold_2
419,fold_0
42,fold_1
420,fold_1
421,test
422,fold_4
423,fold_0
424,fold_2
425,fold_2
426,fold_3
427,fold_1
428,fold_4
429,fold_1
43,fold_4
430,fold_4
431,fold_4
432,fold_2
433,fold_2
434,fold_4
435,fold_3
436,fold_1
437,fold_3
438,fold_2
439,fold_3
44,fold_1
440,fold_1
441,fold_4
442,fold_3
443,fold_4
444,fold_0
445,fold_4
446,fold_4
447,fold_0
448,fold_1
449,test
45,fold_2
450,fold_4
451,fold_0
452,fold_0
453,fold_3
454,fold_4
455,fold_4
456,fold_4
457,fold_3
458,fold_1
459,fold_4
46,test
460,fold_2
461,fold_2
462,fold_3
463,fold_2
464,test
465,test
466,fold_4
467,fold_2
468,fold_1
469,fold_1
47,test
470,fold_4
471,fold_2
472,fold_2
473,fold_1
474,fold_2
475,fold_0
476,fold_2
477,fold_2
478,fold_3
479,fold_4
48,fold_0
480,fold_1
481,fold_4
482,fold_1
483,fold_3
484,fold_3
485,fold_3
486,fold_2
487,fold_0
488,fold_2
489,fold_4
49,fold_0
490,test
491,fold_4
492,fold_3
493,fold_3
494,fold_2
495,fold_1
496,test
497,fold_3
498,fold_3
499,fold_4
5,test
50,fold_0
500,fold_0
501,fold_3
502,fold_2
503,fold_0
504,fold_1
505,fold_1
506,fold_0
507,fold_4
508,fold_1
509,fold_4
51,fold_3
510,fold_0
511,fold_1
512,fold_2
513,fold_1
514,fold_4
515,fold_1
516,test
517,fold_4
518,fold_0
519,fold_3
52,fold_4
520,fold_4
521,fold_3
522,fold_1
523,fold_4
524,fold_4
525,fold_2
526,fold_1
527,fold_2
528,test
529,fold_1
53,fold_0
530,test
531,fold_1
532,fold_1
533,fold_0
534,fold_4
535,fold_1
536,fold_2
537,fold_2
538,fold_4
539,fold_3
54,fold_3
540,fold_2
541,test
542,fold_4
543,fold_3
544,fold_0
545,fold_0
546,fold_0
547,fold_0
548,fold_2
549,fold_4
55,fold_2
550,fold_3
551,fold_3
552,fold_2
553,fold_0
554,fold_1
555,fold_3
556,fold_0
557,fold_1
558,fold_2
559,fold_0
56,fold_3
560,fold_0
561,fold_0
562,fold_2
563,fold_1
564,fold_3
565,test
566,fold_1
567,fold_1
568,fold_3
569,fold_4
57,fold_4
570,fold_0
571,fold_0
572,fold_3
573,fold_0
574,fold_2
575,test
576,fold_3
577,fold_1
578,fold_1
579,fold_1
58,fold_0
580,fold_3
581,fold_1
582,fold_0
583,fold_0
584,fold_2
585,fold_3
586,fold_0
587,fold_4
588,fold_1
589,fold_2
59,fold_3
590,fold_1
591,fold_3
592,fold_3
593,fold_0
594,fold_3
595,fold_1
596,fold_3
597,fold_1
598,fold_4
599,fold_4
6,test
60,fold_2
600,fold_1
601,fold_3
602,fold_2
603,fold_1
604,fold_3
605,fold_1
606,fold_0
607,fold_3
608,fold_4
609,fold_1
61,fold_4
610,test
611,fold_3
612,fold_0
613,fold_3
614,fold_2
615,fold_1
616,fold_1
617,fold_0
618,fold_4
619,fold_4
62,fold_0
620,fold_2
621,fold_0
622,fold_4
623,fold_1
624,fold_0
625,fold_0
626,test
627,fold_0
628,fold_3
629,fold_2
63,fold_2
630,fold_3
631,fold_1
632,fold_1
633,fold_4
634,fold_4
635,fold_0
636,fold_3
637,fold_3
638,fold_1
639,fold_4
64,fold_3
640,fold_4
641,test
642,fold_1
643,fold_4
644,fold_0
645,fold_1
646,fold_2
647,fold_1
648,fold_3
649,fold_0
65,fold_4
650,fold_1
651,fold_0
652,fold_1
653,fold_2
654,fold_3
655,fold_2
656,fold_3
657,fold_1
658,fold_4
659,fold_1
66,fold_0
660,fold_0
661,fold_1
662,fold_0
663,fold_1
664,fold_0
665,test
666,fold_4
667,fold_4
668,fold_3
669,fold_1
67,fold_1
670,fold_2
671,fold_3
672,fold_3
673,fold_2
674,test
675,fold_3
676,fold_4
677,fold_1
678,fold_2
679,fold_0
68,fold_3
680,fold_3
681,fold_3
682,fold_2
683,fold_0
684,fold_3
685,fold_2
686,fold_0
687,fold_2
688,fold_2
689,fold_3
69,fold_4
690,fold_0
691,fold_3
692,fold_1
693,fold_4
694,fold_1
695,fold_2
696,fold_4
697,fold_1
698,fold_2
699,fold_3
7,test
70,fold_4
700,fold_4
701,fold_1
702,fold_1
703,fold_0
704,fold_4
705,fold_0
706,test
707,fold_2
708,fold_3
709,test
71,fold_2
710,fold_0
711,fold_3
712,fold_1
713,fold_2
714,fold_3
715,fold_3
716,fold_2
717,test
718,fold_3
719,fold_2
72,fold_3
720,fold_3
721,fold_3
722,fold_0
723,fold_2
724,fold_3
725,test
726,fold_4
727,fold_2
728,fold_2
729,fold_1
73,fold_3
730,fold_4
731,fold_3
732,fold_1
733,fold_4
734,fold_3
735,fold_0
736,fold_4
737,fold_1
738,fold_3
739,fold_4
74,fold_0
740,test
741,test
742,fold_1
743,fold_3
744,fold_2
745,fold_1
746,fold_4
747,fold_3
748,fold_4
749,fold_3
75,fold_2
750,fold_2
751,fold_0
752,fold_4
753,fold_1
754,fold_2
755,fold_1
756,fold_3
757,fold_1
758,fold_3
759,fold_4
76,fold_1
760,fold_0
761,fold_3
762,fold_2
763,fold_2
764,fold_3
765,fold_3
766,fold_0
767,fold_3
768,test
769,fold_2
77,fold_3
770,fold_2
771,fold_3
772,fold_4
773,fold_2
774,fold_3
775,fold_3
776,fold_1
777,fold_3
778,fold_3
779,fold_2
78,fold_4
780,fold_3
781,fold_2
782,fold_0
783,fold_3
784,fold_3
785,test
786,fold_3
787,fold_2
788,fold_0
789,fold_3
79,fold_2
790,fold_3
791,fold_4
792,fold_3
793,fold_4
794,fold_1
795,fold_4
796,fold_4
797,fold_3
798,fold_2
799,fold_3
8,fold_3
80,test
800,fold_4
801,fold_2
802,fold_2
803,test
804,test
