sample_id,partition
0,fold_0
1,fold_2
10,fold_4
100,fold_4
101,fold_1
102,fold_4
103,fold_0
104,fold_2
105,fold_4
106,fold_1
107,fold_4
108,fold_2
109,fold_2
11,fold_4
110,fold_4
111,fold_1
112,fold_0
113,fold_4
114,fold_2
115,fold_2
116,fold_2
117,fold_1
118,fold_1
119,fold_0
12,fold_1
120,fold_0
121,fold_2
122,test
123,fold_0
124,fold_4
125,fold_3
126,fold_3
127,fold_3
128,fold_0
129,fold_2
13,fold_1
130,fold_1
131,fold_0
132,fold_3
133,fold_0
134,fold_1
135,test
136,fold_4
137,fold_4
138,fold_3
139,fold_3
14,fold_4
140,fold_4
141,test
142,fold_1
143,fold_1
144,fold_2
145,test
146,fold_0
147,fold_3
148,fold_2
149,fold_2
15,fold_1
150,fold_1
151,fold_2
152,fold_0
153,fold_0
154,fold_0
155,fold_1
156,fold_2
157,fold_2
158,fold_4
159,fold_0
16,test
160,fold_3
161,fold_1
162,fold_2
163,test
164,fold_3
165,fold_2
166,fold_4
167,fold_3
168,fold_1
169,fold_2
17,fold_3
170,fold_0
171,fold_4
172,fold_0
173,fold_4
174,fold_0
175,test
176,fold_0
177,fold_1
178,fold_3
179,fold_0
18,fold_3
180,fold_3
181,fold_3
182,fold_4
183,fold_0
184,fold_0
185,fold_3
186,fold_3
187,fold_1
188,fold_4
189,fold_0
19,fold_4
190,fold_3
191,test
192,test
193,fold_0
194,fold_1
195,fold_0
196,fold_1
197,fold_4
198,fold_0
199,fold_3
2,test
20,fold_2
200,fold_3
201,fold_3
202,fold_3
203,fold_3
204,fold_3
205,fold_4
206,fold_4
207,fold_0
208,fold_2
209,test
21,fold_2
210,fold_2
211,fold_3
212,test
213,fold_3
214,fold_4
215,fold_2
216,fold_4
217,fold_1
218,fold_1
219,test
22,fold_0
220,fold_0
221,fold_2
222,test
223,fold_4
224,test
225,fold_4
226,fold_3
227,fold_1
228,fold_2
229,fold_1
23,fold_4
230,fold_4
231,fold_1
232,fold_3
233,fold_0
234,fold_3
235,fold_2
236,test
237,fold_1
238,fold_2
239,fold_2
24,fold_2
240,fold_4
241,test
242,fold_2
243,fold_4
245,fold_3
246,fold_2
247,fold_4
248,fold_4
249,fold_2
25,test
250,fold_0
251,fold_0
252,fold_4
253,fold_1
254,fold_1
255,fold_2
256,fold_3
257,fold_2
258,fold_1
259,fold_3
26,fold_1
260,fold_2
261,fold_0
262,fold_4
263,fold_1
264,test
265,fold_4
266,test
267,fold_0
268,fold_0
269,fold_0
27,fold_0
270,fold_1
271,fold_2
272,fold_0
273,fold_1
274,fold_4
275,fold_3
276,fold_3
277,fold_0
278,fold_2
279,fold_0
28,fold_2
280,fold_4
281,fold_2
282,fold_4
283,fold_3
284,fold_4
285,fold_1
286,fold_3
287,fold_1
288,fold_1
289,fold_2
29,fold_2
290,fold_3
291,test
292,fold_2
293,fold_3
294,test
295,fold_0
296,fold_1
297,fold_0
298,fold_0
299,fold_2
3,fold_3
30,fold_1
300,fold_0
301,fold_4
302,fold_2
303,fold_4
304,fold_0
305,fold_1
306,fold_3
307,fold_1
308,fold_1
309,fold_2
31,test
310,fold_1
311,fold_4
312,fold_2
313,test
314,fold_2
315,fold_1
316,fold_1
317,fold_3
318,fold_0
319,fold_1
32,fold_2
320,fold_3
321,fold_1
322,fold_4
323,fold_3
324,fold_3
325,fold_4
326,fold_1
327,fold_1
328,fold_3
329,test
33,fold_4
330,fold_3
331,fold_3
332,fold_4
333,fold_0
334,fold_3
335,fold_2
336,fold_2
337,fold_1
338,fold_1
339,fold_3
34,test
340,fold_0
341,fold_2
342,fold_0
343,fold_3
344,fold_4
345,fold_1
346,fold_0
347,fold_0
348,fold_2
349,fold_4
35,test
350,fold_0
351,test
352,fold_1
353,fold_3
354,test
355,fold_4
356,fold_2
357,fold_2
358,fold_2
359,fold_2
36,fold_3
360,fold_2
361,fold_2
362,fold_1
363,fold_3
364,fold_2
365,fold_1
366,test
367,fold_0
368,fold_2
369,fold_4
37,fold_2
370,fold_3
371,fold_0
372,fold_3
373,fold_1
374,test
375,fold_1
376,fold_0
377,fold_0
378,fold_3
379,fold_4
38,fold_0
380,fold_4
381,fold_3
382,fold_4
383,fold_1
384,fold_0
385,fold_1
386,fold_2
387,test
388,fold_3
389,fold_0
39,fold_1
390,fold_1
391,fold_1
392,fold_0
393,fold_1
394,fold_1
395,fold_4
396,test
397,fold_3
398,fold_3
399,fold_2
4,fold_4
40,fold_4
400,fold_4
401,test
402,fold_0
403,fold_3
404,fold_0
405,fold_2
406,test
407,fold_2
408,fold_0
409,fold_0
41,fold_3
410,fold_2
411,fold_4
412,fold_3
413,test
414,test
415,fold_0
416,fold_2
417,fold_2
418,fold_0
419,fold_0
42,fold_0
420,fold_0
421,fold_4
422,fold_3
423,fold_1
424,fold_0
425,fold_0
426,fold_1
427,fold_0
428,test
429,fold_1
43,fold_0
