sample_id,smiles,scaffold,label
0,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2CC1C(=O)N[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)C1CCCCC1,O=C(NCCc1ccccc1)C(CC1CCCCC1)NC(=O)C1Cc2ccccc2CN1C(=O)CCc1ccccc1,1
9,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,O=C1CCC2C3Cc4cccc5c4C2(CC[NH+]3CC2CC2)C1O5,1
22,CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)N(CC2CC2)CCC315,1
27,O=C(O[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1cc2ccccc2cn1,O=C(OC12CCC(=O)C3Oc4cccc5c4C31CCN(CC1CC1)C2C5)c1cc2ccccc2cn1,1
38,O=C1CC[C@@]2(NCCCc3ccc(Cl)cc3)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,O=C1CCC2(NCCCc3ccccc3)C3Cc4cccc5c4C2(CCN3CC2CC2)C1O5,1
42,CC(C)C1CCC(N2CCC(N3c4ccccc4CN(CCO)S3(=O)=O)CC2)CC1,O=S1(=O)NCc2ccccc2N1C1CCN(C2CCCCC2)CC1,1
43,Cc1ccc(/C=C/C(=O)O[C@@]23CCC(=O)[C@@H]4Oc5c(O)ccc6c5[C@@]42CCN(CC2CC2)[C@@H]3C6)cc1,O=C(C=Cc1ccccc1)OC12CCC(=O)C3Oc4cccc5c4C31CCN(CC1CC1)C2C5,1
44,CC(C)CN1CC[C@@]23c4c5ccc(O)c4OCO[C@]46CC[C@@]2(O[C@H](C(=O)N4Cc2ccccc2)[C@H]63)[C@H]1C5,O=C1C2OC34CCC5(OCOc6cccc7c6C3(CCNC4C7)C25)N1Cc1ccccc1,1
45,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N\N=C2\CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6CC=C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,c1cc2c3c(c1)OC1C(=NN=C4CCC5C6Cc7cccc8c7C5(CCN6)C4O8)CCC4C(C2)NCCC314,1
50,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc(Cl)cc5)[C@@H](C2)N(CC2CC2)CC[C@]314,O=C(C=Cc1ccccc1)NC12CCC(=O)C3Oc4cccc5c4C31CCN(CC1CC1)C2C5,1
60,O=C(Nc1ccccc1)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1,O=C(Nc1ccccc1)C1=CC2Oc3cccc4c3C23CCN(CC2CC2)C(C4)C3C1,1
68,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)c1cccs1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,c1csc(CC2CC34CCC2C2Oc5cccc6c5C23CCN(CC2CC2)C4C6)c1,1
71,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CC1)CC3,c1ccc2c(c1)CC1C3CCCCC23CCN1CC1CC1,1
79,Cc1ccnc(N(C(=O)c2ccco2)C2CCN(CCc3ccccc3)CC2)c1,O=C(c1ccco1)N(c1ccccn1)C1CCN(CCc2ccccc2)CC1,1
95,C[C@H]1CN(CCCc2ccccc2)[C@@H]2C[C@@H](NC(=O)C3(c4ccsc4)CCCC3)C[C@@]1(c1cccc(O)c1)C2,O=C(NC1CC2CC(c3ccccc3)(CCN2CCCc2ccccc2)C1)C1(c2ccsc2)CCCC1,1
103,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,c1ccc2c(c1)CC1NCCC23CCCCC13,1
112,O=C1CCC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N1CC1CCCCC1,O=C1CCC2=C(C3Oc4cccc5c4C34CCN(CC3CC3)C(C5)C4C2)N1CC1CCCCC1,1
119,C[C@H]1CN(CCCc2ccccc2)[C@@H]2C[C@@H](NC(=O)C3(c4ccccc4)CCC3)C[C@@]1(c1cccc(O)c1)C2,O=C(NC1CC2CC(c3ccccc3)(CCN2CCCc2ccccc2)C1)C1(c2ccccc2)CCC1,1
120,COCCN(C(=O)c1sccc1Cl)C1c2ccccc2C=CC1N1CCN(c2ccccc2)CC1,O=C(NC1c2ccccc2C=CC1N1CCN(c2ccccc2)CC1)c1cccs1,1
123,CCC1C(=O)N(C2CCN(C(C)CC(c3ccccc3)c3ccccc3)CC2)c2ccccc21,O=C1Cc2ccccc2N1C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
128,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NCCCc5ccc(Cl)cc5)[C@@H](C2)N(CC2CC2)CC[C@]314,O=C1CCC2(NCCCc3ccccc3)C3Cc4cccc5c4C2(CCN3CC2CC2)C1O5,1
131,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CCCc2ccccc2)C(=O)CO)c1,c1ccc(CCCNCCN2C3CCC2CC(c2ccccc2)C3)cc1,1
133,O=C1CC[C@@]2(NCCCCc3ccc(Cl)cc3)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,O=C1CCC2(NCCCCc3ccccc3)C3Cc4cccc5c4C2(CCN3CC2CC2)C1O5,1
146,CCC(CC)CN(CCCCCCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)C(=O)CO,c1ccc(C2CC3CCC(C2)N3)cc1,1
152,O=C1N[C@@H]2CCCC[C@H]2N1C1CCN(C2CCCCCCC2)CC1,O=C1NC2CCCCC2N1C1CCN(C2CCCCCCC2)CC1,1
153,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N/NC(=O)c2ccccc2)CC[C@@]3(O)[C@H]1C5,O=C(NN=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5)c1ccccc1,1
154,COC(=O)N1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,1
159,CCC(CC)CN(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)C(=O)CO,c1ccc(C2CC3CCC(C2)N3)cc1,1
170,O=S1(=O)Nc2ccccc2N1C1CCN(C2CCC3CCCCC3C2)CC1,O=S1(=O)Nc2ccccc2N1C1CCN(C2CCC3CCCCC3C2)CC1,1
172,CCN1C(=O)N(C2CCN(C3CCC(C(C)C)CC3)CC2)[C@@H]2CCCC[C@H]21,O=C1NC2CCCCC2N1C1CCN(C2CCCCC2)CC1,1
174,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1CO,O=C(CCc1ccccc1)N1CCc2ccccc2C1,1
176,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC2)C(=O)CO)c1,c1ccc(C2CC3CCC(C2)N3CCNCC2CCC2)cc1,1
179,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,O=C1CCC2C3Cc4cccc5c4C2(CCN3CC2CC2)C1O5,1
183,COCCN(C(=O)Cc1ccc(Cl)cc1)C1c2cc(OC)c(OC)cc2CCC1N(C)C,O=C(Cc1ccccc1)NC1CCCc2ccccc21,1
184,O=C(c1ccc2c(c1)OCO2)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,O=C(c1ccc2c(c1)OCO2)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1
