sample_id,partition
0,fold_1
1,fold_1
10,fold_4
100,test
101,fold_4
102,fold_0
103,fold_0
104,fold_2
105,fold_3
106,test
107,test
108,fold_0
109,fold_0
11,fold_4
110,fold_1
111,fold_4
112,fold_2
113,fold_3
114,test
115,fold_3
116,fold_4
117,fold_3
118,fold_4
119,fold_1
12,fold_2
120,test
121,fold_1
122,fold_4
123,fold_0
124,fold_0
125,fold_1
126,fold_0
127,test
128,fold_1
129,fold_3
13,fold_2
130,fold_4
131,fold_1
132,fold_1
133,fold_0
134,fold_3
135,test
136,fold_4
137,fold_2
138,fold_2
139,fold_1
14,fold_3
140,fold_2
141,fold_2
142,fold_2
143,test
144,fold_4
145,test
146,fold_3
147,fold_4
148,fold_2
149,fold_3
15,fold_1
150,fold_0
151,fold_1
152,fold_4
153,fold_2
154,fold_2
155,fold_4
156,fold_4
157,fold_4
158,fold_1
159,fold_3
16,fold_3
160,fold_1
161,fold_2
162,fold_4
163,fold_3
164,fold_0
165,fold_4
166,fold_2
167,fold_1
168,fold_0
169,fold_0
17,fold_1
170,fold_1
171,fold_1
172,fold_1
173,fold_4
174,fold_2
175,fold_2
176,fold_4
177,fold_4
178,fold_3
179,fold_4
18,fold_4
180,test
181,test
182,fold_0
183,fold_1
184,fold_4
185,fold_2
186,fold_4
187,fold_0
188,test
189,fold_1
19,fold_2
190,fold_4
191,fold_2
192,fold_0
193,fold_0
194,fold_3
195,fold_0
196,fold_0
197,fold_1
198,fold_3
199,fold_2
2,fold_1
20,fold_4
200,fold_1
201,fold_4
202,fold_4
203,fold_3
204,fold_1
205,fold_2
206,fold_0
207,fold_3
208,fold_3
209,fold_4
21,fold_3
210,test
211,fold_3
212,fold_2
213,test
214,fold_0
215,fold_0
216,fold_3
217,fold_4
218,fold_3
219,test
22,fold_4
220,fold_2
221,fold_1
222,fold_0
223,fold_3
224,fold_4
225,fold_4
226,fold_2
227,fold_3
228,fold_2
229,fold_2
23,fold_3
230,fold_2
231,fold_2
232,fold_2
233,fold_2
234,fold_2
235,fold_2
236,fold_2
237,fold_2
238,fold_1
239,fold_1
24,fold_3
240,fold_1
241,fold_2
242,fold_2
243,fold_2
245,fold_4
246,fold_4
247,fold_2
248,fold_2
249,fold_2
25,fold_3
250,test
251,test
252,fold_3
253,fold_3
254,fold_1
255,fold_1
256,fold_0
257,fold_0
258,fold_2
259,fold_2
26,test
260,fold_4
261,fold_4
262,fold_4
263,fold_4
264,fold_0
265,fold_0
266,fold_3
267,fold_1
268,fold_1
269,fold_4
27,fold_3
270,fold_4
271,fold_2
272,fold_2
273,test
274,fold_1
275,fold_2
276,fold_2
277,fold_2
278,fold_2
279,fold_3
28,fold_4
280,fold_1
281,fold_1
282,fold_1
283,fold_1
284,fold_2
285,fold_2
286,fold_4
287,fold_4
288,fold_2
289,fold_2
29,fold_2
290,fold_1
291,fold_1
292,fold_0
293,fold_0
294,fold_1
295,fold_1
296,fold_2
297,fold_2
298,fold_2
299,fold_2
3,fold_1
30,fold_0
300,fold_0
301,fold_0
302,fold_1
303,fold_1
304,fold_3
305,fold_3
306,fold_3
307,fold_3
308,fold_1
309,fold_1
31,fold_4
310,fold_1
311,fold_1
312,fold_3
313,fold_3
314,fold_3
315,fold_3
316,test
317,test
318,fold_2
319,fold_2
32,fold_3
320,fold_3
321,fold_3
322,fold_3
323,fold_3
324,fold_3
325,fold_2
326,fold_2
327,test
328,fold_3
329,fold_3
33,fold_0
330,fold_1
331,fold_1
332,fold_4
333,fold_4
334,fold_3
335,fold_3
336,fold_1
337,fold_1
338,fold_3
339,fold_0
34,fold_4
340,fold_0
341,fold_3
342,fold_3
343,fold_3
344,fold_3
345,fold_1
346,fold_0
347,fold_0
348,fold_4
349,fold_3
35,fold_3
350,fold_4
351,fold_4
352,fold_2
353,fold_3
354,fold_3
355,fold_0
356,fold_2
357,fold_3
358,fold_2
359,test
36,fold_2
360,fold_0
361,fold_4
362,fold_4
363,fold_2
364,fold_3
365,fold_0
366,test
367,fold_4
368,fold_2
369,fold_1
37,fold_3
370,fold_1
371,fold_1
372,fold_3
373,fold_0
374,fold_3
375,fold_3
376,fold_1
377,fold_0
378,fold_0
379,test
38,fold_1
380,test
381,fold_4
382,fold_4
383,fold_4
384,fold_4
385,fold_1
386,fold_0
387,fold_4
388,fold_0
389,test
39,fold_2
390,fold_2
391,fold_0
392,fold_1
393,fold_1
394,fold_0
395,fold_1
396,fold_0
397,fold_4
398,fold_0
399,test
4,fold_1
40,fold_3
400,fold_2
401,fold_2
402,fold_2
403,fold_4
404,fold_1
405,fold_0
406,fold_2
407,fold_3
