group,bin_lower,bin_upper,count,n
development,219.28399999999999,381.57179999999948,259,888
development,381.57179999999948,543.85959999999898,458,888
development,543.85959999999898,706.14739999999847,82,888
development,706.14739999999847,868.43519999999796,33,888
development,868.43519999999796,1030.7229999999975,9,888
development,1030.7229999999975,1193.0107999999968,15,888
development,1193.0107999999968,1355.2985999999964,14,888
development,1355.2985999999964,1517.586399999996,12,888
development,1517.586399999996,1679.8741999999957,2,888
development,1679.8741999999957,1842.1619999999948,1,888
development,1842.1619999999948,2004.4497999999944,1,888
development,2004.4497999999944,2166.737599999994,1,888
development,2166.737599999994,2329.0253999999936,0,888
development,2329.0253999999936,2491.3131999999928,0,888
development,2491.3131999999928,2653.6009999999924,0,888
development,2653.6009999999924,2815.888799999992,0,888
development,2815.888799999992,2978.1765999999916,0,888
development,2978.1765999999916,3140.4643999999912,0,888
development,3140.4643999999912,3302.7521999999904,0,888
development,3302.7521999999904,3465.03999999999,1,888
test,219.28399999999999,381.57179999999948,14,94
test,381.57179999999948,543.85959999999898,29,94
test,543.85959999999898,706.14739999999847,19,94
test,706.14739999999847,868.43519999999796,2,94
test,868.43519999999796,1030.7229999999975,17,94
test,1030.7229999999975,1193.0107999999968,9,94
test,1193.0107999999968,1355.2985999999964,4,94
test,1355.2985999999964,1517.586399999996,0,94
test,1517.586399999996,1679.8741999999957,0,94
test,1679.8741999999957,1842.1619999999948,0,94
test,1842.1619999999948,2004.4497999999944,0,94
test,2004.4497999999944,2166.737599999994,0,94
test,2166.737599999994,2329.0253999999936,0,94
test,2329.0253999999936,2491.3131999999928,0,94
test,2491.3131999999928,2653.6009999999924,0,94
test,2653.6009999999924,2815.888799999992,0,94
test,2815.888799999992,2978.1765999999916,0,94
test,2978.1765999999916,3140.4643999999912,0,94
test,3140.4643999999912,3302.7521999999904,0,94
test,3302.7521999999904,3465.03999999999,0,94
