group,bin_lower,bin_upper,count,n
development,219.28399999999999,381.57179999999948,233,884
development,381.57179999999948,543.85959999999898,441,884
development,543.85959999999898,706.14739999999847,95,884
development,706.14739999999847,868.43519999999796,32,884
development,868.43519999999796,1030.7229999999975,23,884
development,1030.7229999999975,1193.0107999999968,24,884
development,1193.0107999999968,1355.2985999999964,18,884
development,1355.2985999999964,1517.586399999996,12,884
development,1517.586399999996,1679.8741999999957,2,884
development,1679.8741999999957,1842.1619999999948,1,884
development,1842.1619999999948,2004.4497999999944,1,884
development,2004.4497999999944,2166.737599999994,1,884
development,2166.737599999994,2329.0253999999936,0,884
development,2329.0253999999936,2491.3131999999928,0,884
development,2491.3131999999928,2653.6009999999924,0,884
development,2653.6009999999924,2815.888799999992,0,884
development,2815.888799999992,2978.1765999999916,0,884
development,2978.1765999999916,3140.4643999999912,0,884
development,3140.4643999999912,3302.7521999999904,0,884
development,3302.7521999999904,3465.03999999999,1,884
test,219.28399999999999,381.57179999999948,40,98
test,381.57179999999948,543.85959999999898,46,98
test,543.85959999999898,706.14739999999847,6,98
test,706.14739999999847,868.43519999999796,3,98
test,868.43519999999796,1030.7229999999975,3,98
test,1030.7229999999975,1193.0107999999968,0,98
test,1193.0107999999968,1355.2985999999964,0,98
test,1355.2985999999964,1517.586399999996,0,98
test,1517.586399999996,1679.8741999999957,0,98
test,1679.8741999999957,1842.1619999999948,0,98
test,1842.1619999999948,2004.4497999999944,0,98
test,2004.4497999999944,2166.737599999994,0,98
test,2166.737599999994,2329.0253999999936,0,98
test,2329.0253999999936,2491.3131999999928,0,98
test,2491.3131999999928,2653.6009999999924,0,98
test,2653.6009999999924,2815.888799999992,0,98
test,2815.888799999992,2978.1765999999916,0,98
test,2978.1765999999916,3140.4643999999912,0,98
test,3140.4643999999912,3302.7521999999904,0,98
test,3302.7521999999904,3465.03999999999,0,98
