protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),valid,AUROC,0.8733010521281683,0.0478564658504314,0.8138794014004196,0.9327227028559172
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),valid,AUPRC,0.7419476137362734,0.1038254328769021,0.6130313116351023,0.8708639158374445
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),valid,Accuracy,0.8462378017462763,0.0440084583462017,0.7915940834013475,0.900881520091205
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),valid,F1,0.617262443438914,0.1046698224571939,0.4872976931954362,0.7472271936823918
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),valid,MCC,0.541993877252503,0.1294941496097728,0.3812056537040358,0.7027821008009703
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),test,AUROC,0.9539710144927536,0.0152998456267532,0.9349737469999388,0.9729682819855684
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),test,AUPRC,0.9299630737136628,0.0099988893994491,0.9175478127243456,0.9423783347029802
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),test,Accuracy,0.926530612244898,0.0085373472095313,0.9159300955746574,0.9371311289151384
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),test,F1,0.84054457619675,0.0198854926563529,0.8158534758788112,0.8652356765146889
scaffold,rf__ecfp_2048,Random Forest,ECFP4 (2048-bit),test,MCC,0.793244722876733,0.0249079369667823,0.7623174342755507,0.8241720114779153
scaffold,rf__ecfp_1024,Random Forest,ECFP4 (1024-bit),valid,AUROC,0.8761231999574898,0.0497587649845264,0.814339532881121,0.9379068670338584
scaffold,rf__ecfp_1024,Random Forest,ECFP4 (1024-bit),valid,AUPRC,0.7418948246725696,0.1059855296393203,0.6102964081888673,0.8734932411562719
scaffold,rf__ecfp_1024,Random Forest,ECFP4 (1024-bit),valid,Accuracy,0.8428479712378018,0.0457774970394576,0.7860077012360277,0.8996882412395758
