bit_rank,bit,environment_smiles,radius,occurrence_count,molecule_count,mean_carrier_shap
1,1145,C(C)N,1,185,185,-0.01599891923770711
1,1145,CN,1,114,112,-0.026266722519981807
1,1145,C(C)n,1,4,4,-0.018072301289066672
1,1145,Cn,1,2,2,-0.017970791086554527
2,309,C(c)(N)=O,1,54,54,0.05106239269177119
2,309,C(C(N)=O)c(n)[nH],2,1,1,0.050995659083127975
2,309,C(C)N(C)C,2,1,1,0.03815535083413124
2,309,[C@@H](C)(C)[N+],1,1,1,0.04053612798452377
3,1039,c(c)(c)C,1,315,310,0.007243537523543402
3,1039,c(cc)cc,2,134,131,0.008132487622343842
3,1039,C(=O)(CN)NC,2,1,1,0.0035110716708004475
3,1039,c(cc)c(c)C,2,1,1,0.0013888402609154582
4,1019,C,0,2262,853,0.0033039119168853984
4,1019,c([C@H](C)C)(nc)n(C)c,2,3,3,0.002340720190356175
4,1019,c(-c(c)c)(cc)c(O)c,2,1,1,0.00160011847037822
4,1019,c([C@@H](C)C)(nc)n(C)c,2,1,1,0.0022814692929387093
5,140,NC,1,174,125,0.018134933518245817
5,140,N(C)(C)C(C)C,2,3,3,0.03245716169476509
5,140,N(C)(C)[C@H](C)C,2,1,1,0.026298483833670616
5,140,c(OC)(cc)c(O)c,2,1,1,0.011096813715994358
6,1117,C(=O)(CC)[C@@H](C)O,2,63,63,0.031024068834200974
6,1117,C(=O)(CC)C(C)O,2,2,2,0.02121623232960701
6,1117,c(C(C)(C)N)(nc)on,2,1,1,0.028347278013825417
7,1104,O(c(c)c)[C@@H](C)C,2,81,80,0.0167218117043376
7,1104,O(c(c)c)[C@@H](c)C,2,65,62,0.007039387402455172
7,1104,N=C,1,32,19,0.001265947828008058
7,1104,O(c(c)c)C(c)C,2,5,5,0.005803295224905014
7,1104,C(C)C(c)(C)C,2,1,1,0.006854538805782795
7,1104,O(c(c)c)C(C)C,2,1,1,0.009606526233255863
7,1104,[C@@](CC)(Nc)(C(=O)c)[C@H](C)N,2,1,1,0.0024437180254608393
7,1104,c(CC)(nn)[nH]n,2,1,1,0.0026107991579920053
7,1104,c(cc)(cc)c(c)c,2,1,1,0.003558974713087082
8,1199,c(cc)cc,2,1773,603,-0.006577914437983003
8,1199,c(cc)(c(c)C)[C@](C)(C)C,2,17,16,-0.006166247072542319
8,1199,c(cc)(c(c)C)[C@@](C)(C)C,2,9,9,-0.007898512063547969
9,1656,[C@H](C)(C)O,1,81,80,0.01908867383026518
9,1656,[C@H](c)(C)O,1,65,62,0.008293623468958802
9,1656,C(c)(C)O,1,5,5,0.006308761425316334
9,1656,C(C)(C)O,1,2,2,0.011534093879163265
9,1656,C(=O)(OC)c(c)c,2,1,1,0.0040489500388503075
9,1656,C(=O)(Oc)c(c)c,2,1,1,0.0040489500388503075
10,1498,[C@H](Cc)(N(C)C)[C@](O)(C)C,2,106,102,0.015040505380716686
10,1498,N(C(C)=O)[C@@H](C)C,2,4,4,0.02585293585434556
10,1498,N(c)C,1,4,4,0.011478709289804101
10,1498,C(=O)(CO)N(c)C,2,3,3,0.01341811753809452
10,1498,C(Cc)(N(C)C)C(O)(C)C,2,1,1,0.01572573557496071
11,1663,c(cc)c(C)c,2,37,33,0.029728274566657616
11,1663,c(c(C)c)c(O)c,2,30,30,0.02915303617094954
12,1738,C(C)C,1,94,86,0.019910225277610237
12,1738,C(c)C,1,21,21,0.00010988987993360275
13,1066,c(cc)c(C)c,2,794,325,-0.009666176004483043
13,1066,c(cc)c(C)o,2,5,5,-0.004274621629156173
14,628,c(cc)(c(c)C)CC,2,46,42,0.035845173944142605
15,650,O,0,1763,685,0.0024255432862599156
15,650,[C@](CC)(CC)(c(c)c)[C@H](C)O,2,14,14,0.0021356583872277823
15,650,O(C(C)=O)c(c)c,2,4,2,0.0019806313212029636
16,248,N(CC)(CC)[C@H](C)C,2,215,212,0.007040009142587704
16,248,N(CC)(CC)C(C)C,2,7,7,0.0051046675403735465
16,248,O(CC)[C@H](C)C,2,6,5,0.003092642780393362
16,248,[C@@H](C)(C)N,1,3,3,0.0129964721078674
16,248,O(CC)[C@@H](C)C,2,2,2,0.004765970632433891
16,248,o(c)n,1,2,2,0.014607918914407492
17,1209,C(CC)C(=O)C,2,64,64,0.028404860391674447
17,1209,C(C(=O)N)c(c)c,2,3,3,4.9206555559067056e-05
17,1209,c(c(Cl)c)c(Cl)c,2,1,1,0.014842360280454159
18,311,c(cc)(c(c)C)CC,2,314,309,0.004791842008568648
18,311,n(cc)c(O)c,2,4,4,0.016470493748784065
19,231,C(c)C,1,541,492,0.0031691916122851796
19,231,O(C)C,1,5,5,0.004372217040508985
19,231,C(C)C,1,4,3,0.004158488241955638
19,231,C(CC)[C@@H](c)N,2,3,3,0.0021811532399927578
19,231,C(CC)C(N)c,2,1,1,0.0024504384491592646
19,231,C(CC)[C@H](C)N,2,1,1,0.0015149073442444205
19,231,c(-n(c)c)(cc)cn,2,1,1,0.0013010206166654825
20,338,C(CC)[C@@H](C)N,2,27,27,0.031202611892863556
20,338,C(CC)[C@H](C)N,2,27,27,0.031202611892863556
20,338,C(CC)C(N)C,2,30,17,0.030371674391276696
20,338,C(C)(C)(C)[C@@](C)(C)O,2,3,3,0.019394817451635998
20,338,C(CC)C(C)N,2,2,1,0.03029315173625946
20,338,C(C)(C)(C)[C@](C)(C)O,2,1,1,0.005778103601187468
