bit,mean_abs_shap,mean_shap,carrier_count,antagonistic_prevalence,non_antagonistic_prevalence
1145,0.009485586,-0.0025658885,298,0.23684211,0.32360741
309,0.008612152,-0.002836063,56,0.18859649,0.01724138
1039,0.00857557,-0.0017756553,427,0.6403509,0.37267905
1019,0.00662754,-0.00088016083,853,0.9736842,0.83687
140,0.0063956254,-0.0014990045,130,0.24122807,0.0994695
1117,0.0062352675,-0.0020835577,66,0.18859649,0.030503979
1104,0.006014207,-0.0021885457,171,0.29385966,0.13793103
1199,0.00600998,-0.002460046,611,0.46052632,0.6710875
1656,0.0059635416,-0.0016863627,149,0.27192983,0.115384616
1498,0.0057281535,-0.0021855072,114,0.19298245,0.0928382
1663,0.005600105,-0.0018208262,63,0.18859649,0.0265252
1738,0.0053301407,-0.0016174891,107,0.24561404,0.067639254
1066,0.0051318877,-0.001290514,327,0.20614035,0.3713528
628,0.0049931225,-0.0019269388,42,0.10526316,0.02387268
650,0.004966864,-0.0014491859,699,0.82894737,0.67639256
248,0.0047872476,-0.0014590321,229,0.36842105,0.1923077
1209,0.004692688,-0.0008758581,68,0.18421052,0.03448276
311,0.00466943,-0.0015095219,313,0.4473684,0.27984086
231,0.0044990326,-0.0012248919,504,0.61403507,0.4827586
338,0.0044872803,-0.0015240135,49,0.1754386,0.01193634
1088,0.0044423477,-0.0017825166,674,0.5964912,0.71352786
80,0.0043558874,-0.0010604729,864,0.94736844,0.8594164
2022,0.00427881,-0.002027192,391,0.50438595,0.36604774
273,0.004242845,-0.002002613,28,0.12280702,0.0
1580,0.0041541,-0.0023351628,362,0.4473684,0.3448276
1634,0.0040922556,-0.0015732788,31,0.09210526,0.0132626
633,0.004061377,-0.0014905977,36,0.14035088,0.0053050397
1727,0.0040215384,-0.0013966097,46,0.1491228,0.01591512
486,0.003986048,-0.00055404304,194,0.15350877,0.21087533
156,0.003812023,-0.0015513194,27,0.083333336,0.010610079
1154,0.0036951513,-0.0015786716,136,0.20175439,0.1193634
1917,0.0036011918,-0.001239643,545,0.63596493,0.530504
1834,0.0034422416,-0.001537147,32,0.13596492,0.0013262599
1854,0.0034049985,-0.0013648134,42,0.096491225,0.0265252
1292,0.003389998,-0.0012709436,71,0.17982456,0.0397878
1760,0.0033677055,-0.0012605896,309,0.42982456,0.27984086
370,0.003209205,-0.000644611,93,0.19736843,0.06366048
1754,0.0031478503,-0.0010283918,414,0.30701753,0.4562334
881,0.0030708064,-0.00091298536,191,0.16666667,0.20291777
1731,0.0030562328,-0.00037637976,85,0.013157895,0.108753316
1671,0.002979498,-0.0017686272,301,0.40350878,0.27718833
580,0.0029752064,-0.0010754182,144,0.06140351,0.1724138
593,0.0029739193,-0.001623491,28,0.07017544,0.01591512
1236,0.0029585604,-0.0009791258,534,0.6447368,0.51326257
682,0.0029314794,-0.001149222,118,0.17982456,0.102122016
875,0.0029097057,-0.0017060471,529,0.46929824,0.5596817
29,0.0028878804,-0.0015559981,362,0.49122807,0.331565
625,0.0028524685,-0.0013677542,28,0.118421055,0.0013262599
966,0.002840456,-0.0005927425,103,0.01754386,0.13129973
218,0.0028097634,-0.00033564796,89,0.013157895,0.11405835
119,0.0027869986,-0.00052547985,132,0.039473683,0.16312997
1951,0.002755698,-0.0009668729,68,0.17105263,0.03846154
1708,0.0027362006,-0.0009878344,75,0.13157895,0.0596817
1482,0.0027055875,-0.00066553405,123,0.021929825,0.15649867
519,0.0026245902,-0.0005773287,98,0.030701755,0.12068965
1745,0.0024986262,-0.00048078047,85,0.021929825,0.1061008
649,0.0024941491,-0.0009313397,309,0.42543858,0.28116712
1110,0.0024885072,-0.00053089135,81,0.004385965,0.1061008
806,0.0024545195,-0.0005119826,116,0.20614035,0.091511935
