smiles,gpcrdb_cid,species,receptor,source_file
COc1ccccc1N1CCN(CCCCn2ncc(=O)n(C)c2=O)CC1,91869,bos,delta,bos-delta.xlsx
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,218655,bos,delta,bos-delta.xlsx
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)CCC4C(C2)N(C)CCC341,218844,bos,delta,bos-delta.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,1421,bos,delta,bos-delta.xlsx
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,218486,bos,delta,bos-delta.xlsx
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,2724,bos,delta,bos-delta.xlsx
CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CC[N@@](C2)[C@@H]13,15467,bos,kappa,bos-kappa.xlsx
COCC[C@H]1C[C@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@H]13,197161,bos,kappa,bos-kappa.xlsx
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,120103,bos,mu,bos-mu.xlsx
C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)CCc1ccc([N+](=O)[O-])cc1)CCC2=O,5154,bos,mu,bos-mu.xlsx
C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)C=CC2=O,5216,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,5347,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,5406,bos,mu,bos-mu.xlsx
CN1CCC23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,5409,bos,mu,bos-mu.xlsx
C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)CCC2=O,6850,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,7604,bos,mu,bos-mu.xlsx
CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C=C[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,9177,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@]1(C)C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,9236,bos,mu,bos-mu.xlsx
COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,13762,bos,mu,bos-mu.xlsx
CN(CC(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,211191,bos,mu,bos-mu.xlsx
O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5,38977,bos,mu,bos-mu.xlsx
C=C(C)C(=O)OC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,56546,bos,mu,bos-mu.xlsx
C=C(COC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5)C(=O)OC,57561,bos,mu,bos-mu.xlsx
CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@H]2O5,73975,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@H]1C34CCN(CC3CC3)C(C2)[C@]42C=C[C@@]1(OC)C([C@@H](C)N=C=S)C2,73976,bos,mu,bos-mu.xlsx
CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1C)[C@H]2O5,73977,bos,mu,bos-mu.xlsx
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,211852,bos,mu,bos-mu.xlsx
C[C@@]12Oc3c(O)ccc4c3[C@@]13CCN(CC1CC1)[C@H](C4)[C@]3(NC(=O)CSSCC(=O)N[C@@]13CCC(=O)[C@]4(C)Oc5c(O)ccc6c5[C@@]41CCN(CC1CC1)[C@@H]3C6)CCC2=O,86040,bos,mu,bos-mu.xlsx
CN1CCC2(c3cccc(O)c3)CCCC1C2,99840,bos,mu,bos-mu.xlsx
C[C@@H]1C2CCCC1(c1cccc(O)c1)CCN2C,100194,bos,mu,bos-mu.xlsx
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,100242,bos,mu,bos-mu.xlsx
C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5,100382,bos,mu,bos-mu.xlsx
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(C)C2C5,100505,bos,mu,bos-mu.xlsx
O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,100514,bos,mu,bos-mu.xlsx
CN1CCC2(c3cccc(O)c3)CCCC1[C@H]2O,100529,bos,mu,bos-mu.xlsx
COCC12Cc3ccc(O)cc3C(C)(CCC1N)C2,101030,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)CSSCC(=O)N[C@@]23CCC(=O)[C@]4(C)Oc6c(O)ccc7c6[C@@]42CCN(C)C3C7)C1C5,101501,bos,mu,bos-mu.xlsx
CN(C)C1CCC2(C)CC1(CO)Cc1ccc(O)cc12,101757,bos,mu,bos-mu.xlsx
CN(C)C1CCC2(C)CC1(C)Cc1ccc(O)cc12,102027,bos,mu,bos-mu.xlsx
