zinc_id,smiles
ZINC000445688610,O=C(Cc1ccc([N+](=O)[O-])cc1Br)N[C@H](CN1CCCC1)c1ccccc1
ZINC000302910501,COc1cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c([N+](=O)[O-])cc1OC(F)F
ZINC000791141859,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cc(F)c(Cl)cc2[N+](=O)[O-])cc1
ZINC000593517946,CN(CCN1CCCCC1)c1cccc(C#N)n1
ZINC000593518463,CN(CCN1CCCCC1)c1cc(C#N)ccn1
ZINC000045513105,CCN(CC)C(=O)C(c1ccccc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC000045513108,CCN(CC)C(=O)C(c1ccccc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC000095456458,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2Br)cc1
ZINC000302810756,COc1ccc(Br)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC000480422392,CC(C)N(C(C)C)S(=O)(=O)c1ccc(N[C@H](C)CN2C[C@H](C)C[C@H](C)C2)nc1
ZINC000480422394,CC(C)N(C(C)C)S(=O)(=O)c1ccc(N[C@H](C)CN2C[C@H](C)C[C@@H](C)C2)nc1
ZINC000480422395,CC(C)N(C(C)C)S(=O)(=O)c1ccc(N[C@@H](C)CN2C[C@H](C)C[C@H](C)C2)nc1
ZINC000480422396,CC(C)N(C(C)C)S(=O)(=O)c1ccc(N[C@@H](C)CN2C[C@H](C)C[C@@H](C)C2)nc1
ZINC000500389449,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cccc(OC(F)F)c2)cc1
ZINC000500397510,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cccc(Br)c2)cc1
ZINC000500417754,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2OC(F)F)cc1
ZINC000506123409,COC(=O)COc1c(C)cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1C
ZINC000506125032,COCCOc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1OC
ZINC000506149478,CCOC(=O)COc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1
ZINC000506160869,CCOc1c(OC)cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1OC
ZINC000511354015,CCCNC(=O)Nc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1
ZINC000537728882,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccc(Br)cc2)cc1
ZINC000539931239,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cc(Cl)ccc2OC)cc1
ZINC000539931370,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccc(OC(F)F)cc2)cc1
ZINC000543843081,CC(C)S(=O)(=O)c1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1
ZINC000589595827,CC(C)CNC(=O)c1cccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1
ZINC000779542750,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2cc(Cl)cc(Cl)c2)cc1
ZINC000779542752,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2cc(Cl)cc(Cl)c2)cc1
ZINC000802960969,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2cccc(C(F)(F)F)c2)cc1
ZINC000802960971,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2cccc(C(F)(F)F)c2)cc1
ZINC000813506489,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(F)(F)c2ccc(OC)cc2)cc1
ZINC001135444777,O=C(Cc1ccc(NC(=O)C(F)(F)F)cc1)N[C@H](CN1CCCC1)c1ccccc1
ZINC001136939836,Cn1c(=O)n(C2CCN(Cc3ccc(OCC(F)F)cc3)CC2)c2ccccc21
ZINC001138146887,Cn1c(=O)n(C2CCN(Cc3cc(O)ccc3Br)CC2)c2ccccc21
ZINC001138553298,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)ccc1OC(F)F
ZINC001138574524,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)ccc1OC(C)C
ZINC001138745819,COc1cc(Cl)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1OC
ZINC001138974218,CCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1OCC
ZINC001138978009,CCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OCC)c1
ZINC001139003523,CCOc1cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)ccc1OC(C)=O
ZINC001139004245,CCOc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)ccc1OC(C)=O
ZINC001139118031,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(Cl)c1OC
ZINC001139132243,CCOC(=O)COc1ccccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001140222426,Nc1cc(Br)ccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001140223679,Cn1c(=O)n(C2CCN(Cc3ccc(Br)cc3N)CC2)c2ccccc21
ZINC001140551297,Cn1c(=O)n(C2CCN(Cc3cccc(O)c3Br)CC2)c2ccccc21
ZINC001143276287,CCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(F)c1F
ZINC001143371240,COc1ccc(F)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1Cl
ZINC001143495458,CCOc1ccc(F)c(F)c1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1
ZINC001143574636,CCOc1cc(F)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(F)c1
ZINC001143848057,COc1c(F)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1Cl
ZINC001143897269,COc1ccc(Cl)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1F
ZINC001143937442,CCOc1ccc(F)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1F
ZINC001144030551,CCOc1c(F)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1F
ZINC001144386311,Cn1c(=O)n(C2CCN(Cc3ccc(O)cc3C(F)(F)F)CC2)c2ccccc21
ZINC001151338522,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2C(F)(F)F)cc1
ZINC001151338525,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2C(F)(F)F)cc1
ZINC001151338872,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccc(Cl)c(Cl)c2)cc1
ZINC001151338874,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccc(Cl)c(Cl)c2)cc1
ZINC001160751826,COC(OC)c1ccc(NC(=O)C(C)(C)C)c(NCCN2CCC(F)(F)CC2)n1
ZINC001203328867,Cn1c(=O)n(C2CCN(Cc3ccccc3Br)CC2)c2ccccc21
ZINC001203367092,Cn1c(=O)n(C2CCN(Cc3c(F)c(F)c(F)c(F)c3F)CC2)c2ccccc21
ZINC001203769422,Cn1c(=O)n(C2CCN(Cc3cccc(Br)c3)CC2)c2ccccc21
ZINC001203908335,Cn1c(=O)n(C2CCN(Cc3ccc(Br)cc3)CC2)c2ccccc21
ZINC001204263296,CN(C)CCCOc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1
ZINC001204268374,CN(C)CCCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1
ZINC001207118168,Cn1c(=O)n(C2CCN(Cc3c(F)cccc3OC(F)F)CC2)c2ccccc21
ZINC001209665286,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(F)cc1Cl
ZINC001209681997,CCOc1cc(C(=O)OC)ccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001209701364,COc1c(Cl)ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1F
ZINC001223016687,COC(=O)C[C@@H](C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223016693,COC(=O)C[C@@H](C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223017368,CCCOC(=O)C(C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223017377,CCCOC(=O)C(C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223017378,CCCOC(=O)C(C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
