source,source_row,raw_smiles,canonical_smiles,status,representative_source_row
gpcrdb,0,COc1ccccc1N1CCN(CCCCn2ncc(=O)n(C)c2=O)CC1,COc1ccccc1N1CCN(CCCCn2ncc(=O)n(C)c2=O)CC1,eligible,0
gpcrdb,1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,eligible,1
gpcrdb,2,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)CCC4C(C2)N(C)CCC341,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)CCC4C(C2)N(C)CCC341,eligible,2
gpcrdb,3,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,training_overlap,
gpcrdb,4,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,eligible,4
gpcrdb,5,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,training_overlap,
gpcrdb,6,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CC[N@@](C2)[C@@H]13,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CC[N@@](C2)[C@@H]13,eligible,6
gpcrdb,7,COCC[C@H]1C[C@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@H]13,COCC[C@H]1C[C@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@H]13,eligible,7
gpcrdb,8,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,training_overlap,
gpcrdb,9,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)CCc1ccc([N+](=O)[O-])cc1)CCC2=O,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)CCc1ccc([N+](=O)[O-])cc1)CCC2=O,eligible,9
gpcrdb,10,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)C=CC2=O,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)C=CC2=O,eligible,10
gpcrdb,11,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,eligible,11
gpcrdb,12,COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,eligible,12
gpcrdb,13,CN1CCC23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,CN1CCC23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,eligible,13
gpcrdb,14,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)CCC2=O,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)CCC2=O,eligible,14
gpcrdb,15,COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,eligible,15
gpcrdb,16,CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C=C[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C=C[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,eligible,16
gpcrdb,17,COc1ccc2c3c1O[C@@]1(C)C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,COc1ccc2c3c1O[C@@]1(C)C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,eligible,17
gpcrdb,18,COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,eligible,18
gpcrdb,19,CN(CC(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,CN(CC(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,eligible,19
gpcrdb,20,O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5,O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CCC1)[C@@H]2C5,eligible,20
gpcrdb,21,C=C(C)C(=O)OC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,C=C(C)C(=O)OC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,eligible,21
gpcrdb,22,C=C(COC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5)C(=O)OC,C=C(COC1CCC2(O)C3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5)C(=O)OC,eligible,22
gpcrdb,23,CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@H]2O5,CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@H]2O5,eligible,23
gpcrdb,24,COc1ccc2c3c1O[C@@H]1C34CCN(CC3CC3)C(C2)[C@]42C=C[C@@]1(OC)C([C@@H](C)N=C=S)C2,COc1ccc2c3c1O[C@@H]1C34CCN(CC3CC3)C(C2)[C@]42C=C[C@@]1(OC)C([C@@H](C)N=C=S)C2,eligible,24
gpcrdb,25,CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1C)[C@H]2O5,CO[C@]12C=C[C@@]3(CC1[C@@H](C)N=C=S)C1Cc4ccc(O)c5c4C3(CCN1C)[C@H]2O5,eligible,25
gpcrdb,26,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,eligible,26
